Header in export,Discription,Code,Meaning
path (1-10),Pathology Finding,JP,Juvenile papillomatosis
path (1-10),Pathology Finding,LA,Lactating adenoma
path (1-10),Pathology Finding,LB,Lipoma of the breast
path (1-10),Pathology Finding,LC,Lactational change
path (1-10),Pathology Finding,LH,Lobular hyperplasia
path (1-10),Pathology Finding,LI,Leukemic infiltration
path (1-10),Pathology Finding,LM,Leiomyoma
path (1-10),Pathology Finding,LMS,Leiomyosarcoma
path (1-10),Pathology Finding,LN,Lymph node
path (1-10),Pathology Finding,LP,Large duct papilloma
path (1-10),Pathology Finding,LPS,Liposarcoma
path (1-10),Pathology Finding,LRC,lipid-rich (lipid-secreting) carcinoma
path (1-10),Pathology Finding,LS,Lobular carcinoma in-situ (LCIS)
path (1-10),Pathology Finding,LVI,Lymphatic vessel invasion
path (1-10),Pathology Finding,LY,Lymphoma
path (1-10),Pathology Finding,MAS,Mastitis
path (1-10),Pathology Finding,MB,Metastatic cancer to the breast
path (1-10),Pathology Finding,MBC,Metastatic cancer to the breast from the colon
path (1-10),Pathology Finding,MBL,Metastatic cancer to the breast from the lung
path (1-10),Pathology Finding,MBM,Metastatic melanoma to the breast
path (1-10),Pathology Finding,MBO,Metastatic cancer to the breast from the ovary
path (1-10),Pathology Finding,MBS,Metastatic sarcoma to the breast
path (1-10),Pathology Finding,MC,Medullary carcinoma
path (1-10),Pathology Finding,MD,Mondor's disease (thrombophlebitis)
path (1-10),Pathology Finding,MDC,Multifocal intraductal carcinoma
path (1-10),Pathology Finding,MDN,Metastatic disease to axillary node
path (1-10),Pathology Finding,MFB,Myofibroblastoma
path (1-10),Pathology Finding,MFH,Malignant fibrous histiocytoma
path (1-10),Pathology Finding,MGA,Microglandular adenosls
path (1-10),Pathology Finding,MH,Malingnant fibrous hystiocytoma
path (1-10),Pathology Finding,MIC,Multifocal invaslve ductal carcinoma
path (1-10),Pathology Finding,MIM,Metastasis to an intramammary lymph node
path (1-10),Pathology Finding,MIP,Multiple intraductal papillomas
path (1-10),Pathology Finding,MMN,Malignant melanoma of the nipple
path (1-10),Pathology Finding,MP,Microscopic Papilloma
path (1-10),Pathology Finding,NA,No abnormality
path (1-10),Pathology Finding,NBT,Normal breast tissue
path (1-10),Pathology Finding,ND,Non-diagnostic
path (1-10),Pathology Finding,NFA,Neurofibroma
path (1-10),Pathology Finding,NFS,Neurofibromatosis
path (1-10),Pathology Finding,NHL,Non-Hodgkin lymphoma
path (1-10),Pathology Finding,NMS,Neoplasm of the mammary skin
path (1-10),Pathology Finding,NOS,Not otherwise specified
path (1-10),Pathology Finding,NPA,Nipple adenoma
path (1-10),Pathology Finding,OC,Oil cyst (fat necrosis cyst)
path (1-10),Pathology Finding,OS,Osteogenic sarcoma
path (1-10),Pathology Finding,PA,Papilloma
path (1-10),Pathology Finding,PC,Papillary carcinoma in-situ
path (1-10),Pathology Finding,PD,Paget's disease (of the nipple)
path (1-10),Pathology Finding,PDP,Peripheral duct papillomas
path (1-10),Pathology Finding,PL,Pleomorphic adenoma
path (1-10),Pathology Finding,PLS,Plasmacytoma
path (1-10),Pathology Finding,PRM,Post reduction mammoplasty
path (1-10),Pathology Finding,PSH,Pseudoangiomatous stromal hyperplasia
path (1-10),Pathology Finding,PT,Phylloides tumor
path (1-10),Pathology Finding,PTM,Phylloides tumor - malignant
path (1-10),Pathology Finding,RM,Recurrent malignancy
path (1-10),Pathology Finding,RS,Radial scar
path (1-10),Pathology Finding,SA,Sclerosing adenosis
path (1-10),Pathology Finding,SBT,Sclerotic breast tissue
path (1-10),Pathology Finding,SC,Signet cell carcinoma
path (1-10),Pathology Finding,SCL,Sclerosis
path (1-10),Pathology Finding,SCN,Squamous cell carcinoma of the nipple
path (1-10),Pathology Finding,SCT,Spindle cell tumor
path (1-10),Pathology Finding,SE,Seroma
path (1-10),Pathology Finding,SF,Stromal fibrosis
path (1-10),Pathology Finding,SG,Silicone granuloma
path (1-10),Pathology Finding,SJC,Secretory (juvenile) carcinoma
path (1-10),Pathology Finding,SQ,Squamous carcinoma
path (1-10),Pathology Finding,ST,Scar tissue
path (1-10),Pathology Finding,TA,Tubular adenoma
path (1-10),Pathology Finding,TC,Tubular carcinoma
path (1-10),Pathology Finding,TR,Treatment effect
path (1-10),Pathology Finding,VGH,Virginal hyperplasia
concord,Concordance,C,Concordant
concord,Concordance,N,Not concordant
hgrade,Histological Grade,G1    ,low combined histological grade (favorable)                                                                                                                                                             
hgrade,Histological Grade,G2    ,intermediate combined histological grade (moderately favorable)                                                                                                                                         
hgrade,Histological Grade,G3    ,high combined histological grade (unfavorable)                                                                                                                                                          
hgrade,Histological Grade,GX    ,grade cannot be assessed                                                                                                                                                                                
tnmpt,TNM primary tumor,PT0   ,no evidence of primary tumor
tnmpt,TNM primary tumor,PT1A  ,tumor >1 mm but <= 5 mm
tnmpt,TNM primary tumor,PT1B  ,tumor >5 mm but <= 10 mm
tnmpt,TNM primary tumor,PT1C  ,tumor >10 mm but <= 20 mm
tnmpt,TNM primary tumor,PT1MI ,tumor <=1 mm 
tnmpt,TNM primary tumor,PT2   ,Tumor >20 mm but <= 50 mm
tnmpt,TNM primary tumor,PT3   ,tumor >50 mm
tnmpt,TNM primary tumor,PT4A  ,extension to chest wall
tnmpt,TNM primary tumor,PT4B  ,Ulceration and/or ipsilateral satellite nodules and/or edema of the skin
tnmpt,TNM primary tumor,PT4C  ,both T4a and T4b
tnmpt,TNM primary tumor,PT4D  ,Inflammatory carcinoma
tnmpt,TNM primary tumor,PTISD ,ductal carcinoma in situ
tnmpt,TNM primary tumor,PTISL ,lobular carcinoma in situ
tnmpt,TNM primary tumor,PTISP ,paget disease of the nipple not associated with invasive carcinoma
tnmpt,TNM primary tumor,PXT   ,primary tumor cannot be assessed
tnmpn,TNM regional lymph nodes(pN),PT0   ,no evidence of primary tumor
tnmpn,TNM regional lymph nodes(pN),PT1A  ,tumor >1 mm but <= 5 mm
tnmpn,TNM regional lymph nodes(pN),PT1B  ,tumor >5 mm but <= 10 mm
tnmpn,TNM regional lymph nodes(pN),PT1C  ,tumor >10 mm but <= 20 mm
tnmpn,TNM regional lymph nodes(pN),PT1MI ,tumor <=1 mm 
tnmpn,TNM regional lymph nodes(pN),PT2   ,Tumor >20 mm but <= 50 mm
tnmpn,TNM regional lymph nodes(pN),PT3   ,tumor >50 mm
tnmpn,TNM regional lymph nodes(pN),PT4A  ,extension to chest wall
tnmpn,TNM regional lymph nodes(pN),PT4B  ,Ulceration and/or ipsilateral satellite nodules and/or edema of the skin
tnmpn,TNM regional lymph nodes(pN),PT4C  ,both T4a and T4b
tnmpn,TNM regional lymph nodes(pN),PT4D  ,Inflammatory carcinoma
tnmpn,TNM regional lymph nodes(pN),PTISD ,ductal carcinoma in situ
tnmpn,TNM regional lymph nodes(pN),PTISL ,lobular carcinoma in situ
tnmpn,TNM regional lymph nodes(pN),PTISP ,paget disease of the nipple not associated with invasive carcinoma
tnmpn,TNM regional lymph nodes(pN),PXT   ,primary tumor cannot be assessed
tnmm,TNM distant metastasis,CMO   ,no clinical or radiographic evidence of distant metastasis
tnmm,TNM distant metastasis,NA    ,not applicable
tnmm,TNM distant metastasis,PM1   ,distant detectable metastasis as determined by classic clinical and radiographic means
tnmdesc,TNM descriptors,m,Multiple foci
tnmdesc,TNM descriptors,r,Recurrent
tnmdesc,TNM descriptors,y,Posttreatment
tnmdesc,TNM descriptors,sn,Only sentiel node evaluated
tnmr,TNM residual,rx,Presence of residual tumor cannot be assessed
tnmr,TNM residual,r0,No residual tumor
tnmr,TNM residual,r1,Microscopic residual tumor
tnmr,TNM residual,r2,Macroscopic residual tumor
stage,TNM Staging (Comment box),,
loc,Location,1,1 o'clock
loc,Location,2,2 o'clock
loc,Location,3,3 o'clock
loc,Location,4,4 o'clock
loc,Location,5,5 o'clock
loc,Location,6,6 o'clock
loc,Location,7,7 o'clock
loc,Location,8,8 o'clock
loc,Location,9,9 o'clock
loc,Location,10,10 o'clock
loc,Location,11,11 o'clock
loc,Location,12,12 o'clock
loc,Location,W,Upper outer
loc,Location,X,Upper inner
loc,Location,Y,Lower outer
loc,Location,Z,Lower inner
loc,Location,C,Central
loc,Location,D,Medial
loc,Location,I,Inferior
loc,Location,L,Lateral
loc,Location,S,Sub-areolar
loc,Location,U,Superior
loc,Location,T,Axillary Tail
loc,Location,A,Axillary Tail
loc,Location,MD,Middle
loc,Location,AN,Anterior
loc,Location,UP,Upper
loc,Location,LO,Lower
loc,Location,IN,Inner
loc,Location,OU,Outer
bdepth,Depth,A,Anterior
bdepth,Depth,M,Middle
bdepth,Depth,P,Posterior
bdepth,Depth,1,1A
bdepth,Depth,2,1B
bdepth,Depth,3,1C
bdepth,Depth,4,2A
bdepth,Depth,5,2B
bdepth,Depth,6,2C
bdepth,Depth,7,3A
bdepth,Depth,8,3B
bdepth,Depth,9,3C
bdistance,Distance in cm,,
focality,Focality,S,single focus
focality,Focality,M,multiple foci
focality,Focality,N,no residual invasive carcinoma
focality,Focality,I,indeterminate
nfocal,Number of focality,,
specsize,Specimen size,,
dcissize,DCIS size,,
invsize,invasive size,,
superior,Superior margin (in mm),,
inferior,Inferior margin (in mm),,
anterior,Anterior margin (in mm),,
posterior,Posterior margin (in mm),,
medial,Medial margin (in mm),,
lateral,Lateral margin (in mm),,
specinteg,Specimen integrity,Y,Single intact
specinteg,Specimen integrity,M,Multiple designated
specinteg,Specimen integrity,F,Fragmented
specinteg,Specimen integrity,O,Other
specnum,Specimen number,,
specembed,Specimen embedded (Y/N),,
est,Estrogen,+,Positive - immunoreactive tumor cells present
est,Estrogen,L,Less than 1% immunoreactive cells present
est,Estrogen,-,Negative - no immunoreactive tumor cells present
est,Estrogen,U,result unkown
est,Estrogen,N,Not performed
est,Estrogen,A,Performed on another specimen
est,Estrogen,P,Pending
est,Estrogen,R,no residual invasive carcinoma after presurgucal therapy
estp,Estrogen percentage,,
her2,HER2 Status,0,Negative (Score 0)
her2,HER2 Status,1,Negative (Score 1+)
her2,HER2 Status,2,Equivocal (Score 2+)
her2,HER2 Status,3,Positive (score 3+)
her2,HER2 Status,A     ,performed on another specimen
her2,HER2 Status,N     ,not performed
her2,HER2 Status,P     ,pending
her2,HER2 Status,R     ,no residual invasive carcinoma after presurgucal therapy
fish,FISH/CISH,+     ,positive
fish,FISH/CISH,-     ,negative
fish,FISH/CISH,0,not amplified (HER2 gene copy <4.0 or ratio <1.8)
fish,FISH/CISH,A     ,performed on another specimen
fish,FISH/CISH,E     ,Equivocal (HER2 gene copy 4.0 to 6.0 or ratio 1.8 to 2.2)
fish,FISH/CISH,M     ,Amplified (HER2 gene copy >6.0 or ratio >2.2)
fish,FISH/CISH,N     ,not performed
fish,FISH/CISH,P     ,pending
fish,FISH/CISH,R     ,no residual invasive carcinoma after presurgical therapy
fish,FISH/CISH,U     ,result unknown
ki67,Ki-67,+     ,positive
ki67,Ki-67,-     ,negative
ki67,Ki-67,B     ,>2% to 20%
ki67,Ki-67,G     ,>=20%
ki67,Ki-67,L     ,<=2%
ki67,Ki-67,N     ,Not performed
extracap,Extracapsular Extension,Y,Present
extracap,Extracapsular Extension,N,not identified
extracap,Extracapsular Extension,K,no skin present
extracap,Extracapsular Extension,I,Indeterminate
methodevl,Method of Evaluation,L,"hematoxylin and eosin, one level"
methodevl,Method of Evaluation,M,"hematoxylin and eosin, multiple levels"
methodevl,Method of Evaluation,I,immunohistochemistry
methodevl,Method of Evaluation,N,sentinel lymph node biopsy not performed
methodevl,Method of Evaluation,O,Other
snode_rem,# of nodes removed: Sentinel,,
node_rem,# of nodes removed: Total,,
node_pos,# of nodes removed: Total Positive,,
macrometa,# of Macrometastases,,
micrometa,# of Micrometastases,,
isocell,# of Isolated Cells,,
largedp,Largest Deposit (in mm),,
eic,EIC,N,Negative
eic,EIC,P,Positive
eic,EIC,O,only DCIS present after presurgical
